,scaling_transform,sigma_clipping,aug_rotation_angle,aug_flip_p,aug_centre_crop_size,aug_centre_crop_p,aug_blurring,aug_blurring_p,aug_blurring_sigma_min,aug_blurring_sigma_max,aug_jiggle_p,normalize,batch_size,loss,validation_fraction,recall_mean,recall_std,recall_min,recall_max
22,linear,True,360,0.0,128,1.0,False,0.2,1,2,0.0,True,50,0.0902696776796471,0.0,44.24,6.3358030272412975,32.0,56.0
19,linear,True,360,0.0,171,1.0,False,0.2,1,2,0.0,True,50,0.0850611867552453,0.0,43.72,5.265130577678012,22.0,55.0
12,linear,True,180,0.0,224,1.0,False,0.2,1,2,0.0,True,50,0.0804706706919453,0.0,43.2,3.4985711369071804,36.0,53.0
27,linear,True,360,0.5,128,0.0,False,0.2,1,2,0.0,True,50,0.0863382572477514,0.0,43.0,7.771743691090179,14.0,53.0
20,linear,True,360,0.5,224,1.0,False,0.2,1,2,0.0,True,50,0.0807167792862111,0.0,42.9,3.5791060336346563,35.0,50.0
16,linear,True,180,0.0,171,0.75,False,0.2,1,2,0.0,True,50,0.0856397361917929,0.0,42.44,4.626705091098849,34.0,53.0
13,linear,True,180,0.0,204,1.0,False,0.2,1,2,0.0,True,50,0.0812397832897576,0.0,42.2,5.517245689653489,31.0,53.0
18,linear,True,180,0.0,171,0.25,False,0.2,1,2,0.0,True,50,0.0813965885476632,0.0,41.84,3.590877330124213,35.0,51.0
14,linear,True,180,0.0,164,1.0,False,0.2,1,2,0.0,True,50,0.0830335424027659,0.0,41.56,4.229231608696785,33.0,50.0
17,linear,True,180,0.0,171,0.5,False,0.2,1,2,0.0,True,50,0.0780560472472147,0.0,40.84,4.144200767337413,34.0,54.0
23,linear,True,360,0.0,224,1.0,False,0.2,1,2,0.0,True,50,0.0706076806580478,0.0,39.7,5.9,14.0,51.0
24,linear,True,360,0.0,110,0.8,False,0.2,1,2,0.0,True,50,0.0927206646989692,0.0,38.6,8.175573374387879,8.0,54.0
30,linear,True,360,0.0,128,0.0,False,0.2,1,2,0.0,True,50,0.0962222902213826,0.2,37.4,6.099180272790763,15.0,47.0
15,linear,True,180,0.0,144,1.0,False,0.2,1,2,0.0,True,50,0.0860244089906865,0.0,37.02,2.831889828365504,28.0,42.0
28,asinh,False,360,0.0,128,0.0,False,0.2,1,2,0.0,True,50,0.0973007143898443,0.0,36.14,8.02747781062022,20.0,51.0
34,linear,True,360,0.0,128,0.0,False,0.0,1,2,0.0,False,32,0.0865547349055608,0.1,35.32,7.173395290934412,12.0,48.0
25,linear,True,360,0.0,90,0.8,False,0.2,1,2,0.0,True,50,0.1165067228403958,0.0,33.62,7.129908835321809,14.0,48.0
29,asinh,True,360,0.0,128,0.0,False,0.2,1,2,0.0,True,50,0.0923613353687174,0.2,32.9,5.664803615307419,19.0,42.0
26,linear,True,360,0.0,70,0.8,False,0.2,1,2,0.0,True,50,0.1325995315882292,0.0,32.44,4.252810835200644,22.0,41.0
11,linear,True,180,0.0,128,1.0,False,0.2,1,2,0.0,True,50,0.093191691420295,0.0,32.42,6.053395741234832,8.0,40.0
38,linear,True,360,0.5,110,0.2,True,0.2,1,2,0.0,False,64,0.103240700562795,0.1,29.1,7.640026177965623,11.0,45.0
21,linear,True,360,0.0,224,1.0,False,0.2,1,2,0.8,True,50,0.1662834638899022,0.0,28.6,6.846897107449476,17.0,40.0
33,linear,True,360,0.0,128,0.0,False,0.0,1,2,0.0,False,64,0.0965324302514394,0.1,28.42,9.271655731313585,8.0,48.0
32,linear,True,360,0.0,128,0.0,False,0.0,1,2,0.0,False,128,0.1152345286682248,0.1,24.54,10.39078437847692,9.0,44.0
