,aug_rotation_p,aug_flip_p,aug_random_crop_p,aug_blurring_p,aug_jiggle_p,learning_rate,batch_size,training_loss_mean,training_loss_std,val_loss_mean,val_loss_std
16,1,0.5,1,0.1,0.0,0.0005,128,0.0684892173324312,0.000643199596898,0.0602980222966935,0.0015648799139536
17,1,0.5,1,0.1,0.0,0.0005,32,0.0919952797889709,0.0018553021344338,0.0647979983025127,0.0031976876676723
18,1,0.5,1,0.1,0.0,0.0005,32,0.0934434110224247,0.0037330311413002,0.0658667730374468,0.0033900990682978
5,1,0.5,1,0.1,0.8,0.0005,64,0.182153426683866,0.0,0.1505395323038101,0.0
6,1,0.5,1,0.1,0.8,0.0005,16,0.1884914095699787,0.0,0.1562245737980394,0.0
4,1,0.5,1,0.1,0.8,0.0005,32,0.1544905793666839,0.0,0.1623054527574115,0.0
11,1,0.5,1,0.1,0.8,0.0005,128,0.2084114274808338,0.0129358876473775,0.1855677233801947,0.0251829597927827
12,1,0.5,0,0.1,0.8,0.0005,128,0.1669114033381144,0.0056662521375813,0.1880506343311734,0.0510939385549066
19,1,0.5,1,0.1,0.8,0.0005,32,0.2365249422192573,0.0147718866821562,0.1991201293137338,0.0185965292338795
7,1,0.5,1,0.1,0.8,0.0005,32,0.2525644049048424,0.0,0.2003287408086988,0.0
15,1,0.5,1,0.1,0.8,0.0005,128,0.2081704799618039,0.027664983868781,0.2018853939241833,0.0130891286885254
10,1,0.0,1,0.1,0.8,0.0005,128,0.2192195951938629,0.0085232628516652,0.2077544397777981,0.0282107430685676
14,1,0.5,1,0.0,0.8,0.0005,128,0.2008338123559951,0.0182728570015245,0.208099451329973,0.0265093153814258
8,0,0.5,1,0.1,0.8,0.0005,128,0.188387469166801,0.0165204232781981,0.2083481036954455,0.0171336413963184
2,1,0.5,1,0.1,0.8,0.0005,128,0.2429156729153224,0.0,0.2098664542039235,0.0
9,1,0.5,1,0.1,0.8,0.0005,128,0.2254290602036884,0.0124422817146482,0.211924683716562,0.0223648288033939
3,1,0.5,1,0.1,0.8,0.001,128,0.2925111481121608,0.0,0.2276120583216349,0.0
13,1,0.5,1,0.1,0.8,0.0005,128,0.2041708450941812,0.0070987484021445,0.2308720747629801,0.0188939026992906
0,1,0.5,1,0.1,0.8,0.00015,128,0.2049892842769622,0.0,0.3904583752155304,0.0
1,1,0.5,1,0.1,0.8,1e-05,128,0.8491745506014142,0.0,0.7202168703079224,0.0
