,features_filename,n_pca,anomaly_algorithm,active_algorithm,active_alpha,active_regression,active_steps,gp_ordering,recall_mean,recall_std,recall_min,recall_max
16,byol_mgcls1000_all_aug_2023_06_20.parquet,120,N/A,GP,-1.0,N/A,10,acquisition,43.8,3.7363083384538807,37.0,50.0
15,byol_mgcls1000_all_aug_2023_06_20.parquet,110,N/A,GP,-1.0,N/A,10,acquisition,42.8,5.546169849544818,32.0,50.0
9,byol_mgcls1000_all_aug_2023_06_20.parquet,150,N/A,GP,-1.0,N/A,10,acquisition,41.4,4.758150901348127,35.0,49.0
18,byol_mgcls1000_all_aug_2023_06_20.parquet,140,N/A,GP,-1.0,N/A,10,acquisition,41.2,6.954135460285484,34.0,54.0
31,byol_mgcls1000_no_jiggle_2023_06_21.parquet,180,N/A,GP,-1.0,N/A,10,acquisition,39.9,7.354590403278758,26.0,50.0
19,byol_mgcls1000_all_aug_2023_06_20.parquet,160,N/A,GP,-1.0,N/A,10,acquisition,39.6,8.83402513014311,23.0,53.0
32,byol_mgcls1000_no_jiggle_2023_06_21.parquet,190,N/A,GP,-1.0,N/A,10,acquisition,39.5,4.8218253804964775,31.0,46.0
17,byol_mgcls1000_all_aug_2023_06_20.parquet,130,N/A,GP,-1.0,N/A,10,acquisition,38.9,10.241581909060727,11.0,51.0
22,byol_mgcls1000_all_aug_2023_06_20.parquet,190,N/A,GP,-1.0,N/A,10,acquisition,38.8,5.81033561853358,30.0,49.0
36,byol_mgcls1000_no_jiggle_2023_06_21.parquet,120,N/A,GP,-1.0,N/A,20,acquisition,38.8,5.8275209137333865,31.0,49.0
28,byol_mgcls1000_no_jiggle_2023_06_21.parquet,150,N/A,GP,-1.0,N/A,10,acquisition,37.8,4.578209256903839,31.0,47.0
35,byol_mgcls1000_no_jiggle_2023_06_21.parquet,120,N/A,GP,-1.0,N/A,10,acquisition,37.8,5.793099343184096,31.0,48.0
37,byol_mgcls1000_no_jiggle_2023_06_21.parquet,120,N/A,GP,-1.0,N/A,5,acquisition,37.1,6.363175307973213,29.0,46.0
25,byol_mgcls1000_no_jiggle_2023_06_21.parquet,120,N/A,GP,-1.0,N/A,10,acquisition,37.0,4.959838707054898,32.0,45.0
27,byol_mgcls1000_no_jiggle_2023_06_21.parquet,140,N/A,GP,-1.0,N/A,10,acquisition,36.9,7.738862965578341,28.0,55.0
30,byol_mgcls1000_no_jiggle_2023_06_21.parquet,170,N/A,GP,-1.0,N/A,10,acquisition,36.7,3.716180835212409,33.0,44.0
29,byol_mgcls1000_no_jiggle_2023_06_21.parquet,160,N/A,GP,-1.0,N/A,10,acquisition,36.7,6.050619802962338,24.0,46.0
21,byol_mgcls1000_all_aug_2023_06_20.parquet,180,N/A,GP,-1.0,N/A,10,acquisition,36.6,8.260750571225353,17.0,49.0
4,byol_mgcls1000_all_aug_2023_06_20.parquet,100,N/A,GP,-1.0,N/A,10,acquisition,36.2,10.934349546269315,5.0,45.0
26,byol_mgcls1000_no_jiggle_2023_06_21.parquet,130,N/A,GP,-1.0,N/A,10,acquisition,35.9,4.592385001282013,29.0,44.0
24,byol_mgcls1000_no_jiggle_2023_06_21.parquet,110,N/A,GP,-1.0,N/A,10,acquisition,35.3,3.4655446902326914,30.0,43.0
23,byol_mgcls1000_no_jiggle_2023_06_21.parquet,100,N/A,GP,-1.0,N/A,10,acquisition,35.1,4.205948168962618,30.0,44.0
20,byol_mgcls1000_all_aug_2023_06_20.parquet,170,N/A,GP,-1.0,N/A,10,acquisition,34.9,6.503076195155644,19.0,45.0
14,byol_mgcls1000_all_aug_2023_06_20.parquet,200,N/A,GP,-1.0,N/A,10,acquisition,34.2,5.8275209137333865,19.0,41.0
33,byol_mgcls1000_no_jiggle_2023_06_21.parquet,200,N/A,GP,-1.0,N/A,10,acquisition,34.0,4.0,26.0,40.0
34,byol_mgcls1000_no_jiggle_2023_06_21.parquet,120,N/A,GP,-1.0,N/A,10,acquisition,30.5,6.15223536610881,20.0,46.0
